Id,Label,Search Term,Notes,Name,Sub Theme,Sub Sub Theme,Level,IsHoliday?,isOccasion?,isSeason?,isBusinessTheme?,isSpring?,isSummer?,isFall?,isWinter?,isXmas?,ConflictsWith,Related FL Theme (ref),Related Parent FL Theme Label
523,Beaches & Nautical,Beaches-Nautical,,Beaches & Nautical,,,1.000000,False,False,False,False,True,True,True,True,True,,,
181,Beaches & Nautical: Beach,Beach,,Beaches & Nautical,Beach,,2.000000,False,False,False,False,False,True,True,True,True,,523,Beaches & Nautical
944,Beaches & Nautical: Beach: Coastal,Coastal,,Beaches & Nautical,Beach,Coastal,3.000000,False,False,False,False,False,True,True,False,True,,181,Beaches & Nautical: Beach
188,Beaches & Nautical: Lighthouses,Lighthouses,,Beaches & Nautical,Lighthouses,,2.000000,False,False,False,False,True,True,False,False,False,,523,Beaches & Nautical
185,Beaches & Nautical: Nautical,Nautical,,Beaches & Nautical,Nautical,,2.000000,False,False,False,False,True,True,False,False,True,,523,Beaches & Nautical
971,Beaches & Nautical: Nautical: Anchor,Anchor,,Beaches & Nautical,Nautical,Anchor,3.000000,False,False,False,False,False,True,False,False,False,,185,Beaches & Nautical: Nautical
283,Birds,Birds,,Birds,,,1.000000,False,False,False,False,True,True,True,True,True,,,
372,Birds: Blue Jays,Blue-Jays,,Birds,Blue Jays,,2.000000,False,False,False,False,True,True,True,True,True,,283,Birds
366,Birds: Bluebirds,Bluebirds,,Birds,Bluebirds,,2.000000,False,False,False,False,True,True,True,True,True,,283,Birds
364,Birds: Cardinals,Cardinals,,Birds,Cardinals,,2.000000,False,False,False,False,True,True,True,True,True,,283,Birds
367,Birds: Chickadees,Chickadees,,Birds,Chickadees,,2.000000,False,False,False,False,True,True,True,True,True,,283,Birds
303,Birds: Chicks,Chicks,,Birds,Chicks,,2.000000,False,False,False,False,True,False,False,False,False,,283,Birds
390,Birds: Cranes,Cranes,,Birds,Cranes,,2.000000,False,False,False,False,True,True,True,False,False,,283,Birds
343,Birds: Crows,Crows,,Birds,Crows,,2.000000,False,False,False,False,False,False,True,False,False,,283,Birds
306,Birds: Doves,Doves,,Birds,Doves,,2.000000,False,False,False,False,True,False,False,True,True,,283,Birds
378,Birds: Ducks,Ducks,,Birds,Ducks,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
108,Birds: Eagles,Eagles,,Birds,Eagles,,2.000000,False,False,False,False,False,True,False,False,False,,283,Birds
738,Birds: Egrets,Egrets,,Birds,Egrets,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
664,Birds: Exotic Birds,Exotic-birds,,Birds,Exotic Birds,,2.000000,False,False,False,False,True,True,False,False,True,,283,Birds
23,Birds: Flamingos,Flamingos,,Birds,Flamingos,,2.000000,False,False,False,False,True,True,False,False,True,,283,Birds
382,Birds: Geese,Geese,,Birds,Geese,,2.000000,False,False,False,False,True,True,True,False,False,,283,Birds
371,Birds: Goldfinches,Goldfinches,,Birds,Goldfinches,,2.000000,False,False,False,False,True,True,True,True,True,,283,Birds
740,Birds: Grosbeaks,Grosbeaks,,Birds,Grosbeaks,,2.000000,False,False,False,False,True,True,True,False,False,,283,Birds
374,Birds: Herons,Herons,,Birds,Herons,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
373,Birds: House Martins,House-Martins,,Birds,House Martins,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
365,Birds: Hummingbirds,Hummingbirds,,Birds,Hummingbirds,,2.000000,False,False,False,False,True,True,False,True,False,,283,Birds
394,Birds: Kingfishers,Kingfishers,,Birds,Kingfishers,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
379,Birds: Loons,Loons,,Birds,Loons,,2.000000,False,False,False,False,True,True,True,False,False,,283,Birds
220,Birds: Love Birds,Love-Birds,,Birds,Love Birds,,2.000000,False,False,False,False,True,True,True,True,False,,283,Birds
389,Birds: Mockingbirds,Mockingbirds,,Birds,Mockingbirds,,2.000000,False,False,False,False,True,True,True,True,False,,283,Birds
718,Birds: Orioles,Orioles,,Birds,Orioles,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
300,Birds: Owls,Owls,,Birds,Owls,,2.000000,False,False,False,False,False,False,True,True,True,,283,Birds
376,Birds: Parrots,Parrots,,Birds,Parrots,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
395,Birds: Partridges,Partridges,,Birds,Partridges,,2.000000,False,False,False,False,False,False,True,True,True,,283,Birds
302,Birds: Peacocks,Peacocks,,Birds,Peacocks,,2.000000,False,False,False,False,True,True,True,False,False,,283,Birds
380,Birds: Pelicans,Pelicans,,Birds,Pelicans,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
301,Birds: Penguins,Penguins,,Birds,Penguins,,2.000000,False,False,False,False,False,False,False,True,True,,283,Birds
385,Birds: Pheasants,Pheasants,,Birds,Pheasants,,2.000000,False,False,False,False,False,False,True,True,False,,283,Birds
715,Birds: Phoebes,Phoebes,,Birds,Phoebes,,2.000000,False,False,False,False,True,True,True,False,False,,283,Birds
493,Birds: Puffins,Puffins,,Birds,Puffins,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
370,Birds: Robins,Robins,,Birds,Robins,,2.000000,False,False,False,False,True,True,True,True,True,,283,Birds
243,Birds: Roosters,Roosters,,Birds,Roosters,,2.000000,False,False,False,False,True,True,True,True,True,,283,Birds
381,Birds: Sandpipers,Sandpipers,,Birds,Sandpipers,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
369,Birds: Seagulls,Seagulls,,Birds,Seagulls,,2.000000,False,False,False,False,True,True,True,False,False,,283,Birds
386,Birds: Sparrows,Sparrows,,Birds,Sparrows,,2.000000,False,False,False,False,True,True,True,True,False,,283,Birds
388,Birds: Swans,Swans,,Birds,Swans,,2.000000,False,False,False,False,True,True,True,True,False,,283,Birds
735,Birds: Tanagers,Tanagers,,Birds,Tanagers,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
736,Birds: Titmouses,Titmouses,,Birds,Titmouses,,2.000000,False,False,False,False,False,False,True,True,False,,283,Birds
393,Birds: Toucans,Toucans,,Birds,Toucans,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
304,Birds: Turkeys,Turkeys,,Birds,Turkeys,,2.000000,False,False,False,False,False,False,True,False,False,,283,Birds
391,Birds: Warblers,Warblers,,Birds,Warblers,,2.000000,False,False,False,False,True,True,False,False,False,,283,Birds
666,Birds: Water Birds,Water-Birds,,Birds,Water Birds,,2.000000,False,False,False,False,True,True,True,False,False,,283,Birds
387,Birds: Woodpeckers,Woodpeckers,,Birds,Woodpeckers,,2.000000,False,False,False,False,True,True,True,True,True,,283,Birds
720,Birds: Wrens,Wrens,,Birds,Wrens,,2.000000,False,False,False,False,True,True,True,False,False,,283,Birds
996,Business,Business,Ignore for Theme Selection,Business,,,1.000000,False,False,False,True,False,False,False,False,False,,,
